Park_Name,Park_Description,Park_Weather,Alert_Title,Alert_Category,Alert_Description,CODE
Carlsbad Caverns,"High ancient sea ledges, deep rocky canyons, flowering cactus, and desert wildlife—treasures above the ground in the Chihuahuan Desert. Hidden beneath the surface are more than 119 caves—formed when sulfuric acid dissolved limestone leaving behind caverns of all sizes.","Carlsbad Caverns National Park is located in the Chihuahuan Desert in southeast New Mexico. Summers are hot with temperatures between 90°F (32°C) and low 100s °F (38°C). Windy conditions and mild temperatures are common in early spring (March-May) with frequent rain in early fall (August-September). This part of the country also sees cold temperatures in the winter with occasional snow and icy conditions. Most days, the park is enveloped by a gorgeous blue sky with very few clouds, 278 sunny days a year!",Unmanned Aircraft (Drones) Are Prohibited,Information,"The use of unmanned aircraft, also known as drones, is prohibited within Carlsbad Caverns National Park.",CAVE
Zion,"Follow the paths where ancient native people and pioneers walked. Gaze up at massive sandstone cliffs of cream, pink, and red that soar into a brilliant blue sky. Experience wilderness in a narrow slot canyon. Zion’s unique array of plants and animals will enchant you as you absorb the rich history of the past and enjoy the excitement of present day adventures.","Zion is known for a wide range of weather conditions. Temperatures vary with changes in elevation and day/night temperatures may differ by over 30°F.

In summer, temperatures in Zion National Park often exceed 100°F/38°C. Zion experiences monsoons from mid-July into September that results in an increased risk of flash floods. Always be aware of the threat of storms and lightning and be prepared for a wide range of weather conditions. Winters are generally mild.",Please park legally and responsibly in Zion National Park and the Town of Springdale,Information,"Zion has limited parking space. Park only in designated stalls. Vehicles parked outside of designated stalls are subject to citation and may be towed. Once all designated parking stalls in Zion are full, visitors should park in Springdale.",ZION
Theodore Roosevelt,"When Theodore Roosevelt came to Dakota Territory to hunt bison in 1883, he was a skinny, young, spectacled dude from New York. He could not have imagined how his adventure in this remote and unfamiliar place would forever alter the course of the nation. The rugged landscape and strenuous life that TR experienced here would help shape a conservation policy that we still benefit from today.","In winter, some or all park roads may be closed due to snow.",South Unit Road,Information,"The South Unit's has a 24 mile out-and-back scenic drive (48 miles roundtrip). A small portion of the former Scenic Loop is closed to vehicle traffic due to road deterioration. This area is open to hiking/biking, however the landslide cannot be crossed.",THRO
Crater Lake,"Crater Lake inspires awe. Native Americans witnessed its formation 7,700 years ago, when a violent eruption triggered the collapse of a tall peak. Scientists marvel at its purity: fed by rain and snow, it’s the deepest lake in the USA and one of the most pristine on earth. Artists, photographers, and sightseers gaze in wonder at its blue water and stunning setting atop the Cascade Mountain Range.","October through June Crater Lake is snow covered. Snowfall averages 533 inches (1,350 cm) annually, and by early spring, it is typical to have ten to fifteen feet (4 meters) of snow on the ground. 

July, August, and September are drier and warmer. A typical daytime high temperature during these three months is around 67°F (19°C), but can range from 40°F to 80°F or more (4°C to 27°C). Temperatures cool off rapidly in the evening, with a typical nighttime low around 40°F (4°C).",North Entrance Road and Rim Drive are Closed to Cars for the Winter,Park Closure,"Winter road closures are now in effect. You can enter year-round from the south or west on Hwy 62. The road to Rim Village is also open year-round, except during periods of heavy snow. At Rim Village, you can enjoy views of the lake, weather permitting.",CRLA
Glacier,"Come and experience Glacier's pristine forests, alpine meadows, rugged mountains, and spectacular lakes. With over 700 miles of trails, Glacier is a hiker's paradise for adventurous visitors seeking wilderness and solitude. Relive the days of old through historic chalets, lodges, and the famous Going-to-the-Sun Road. Explore Glacier National Park and discover what awaits you.","Glacier's weather is highly variable and can be extreme. Expect warm sunny summer days and in the winter the temperatures can fall well below freezing. Glacier's geography, straddling the Continental Divide, sets the stage for clashes of two very different climates. Warm, wet Pacific air moves in from the west, and cold dry Arctic air from the northeast. They meet at the Divide.",Many Glacier Road Construction,Information,Visitors will encounter closures and long travel delays in Many Glacier in 2020 and 2021 due to large-scale road construction projects.,GLAC
Saguaro,"Tucson, Arizona is home to the nation's largest cacti. The giant saguaro is the universal symbol of the American west. These majestic plants, found only in a small portion of the United States, are protected by Saguaro National Park, to the east and west of the modern city of Tucson. Here you have a chance to see these enormous cacti, silhouetted by the beauty of a magnificent desert sunset.","Winter Season
With daytime temperature from the low 50's to the high 70's

Summer Season 
As we get deeper into the summer season, temperatures will range from mid-90's to low 110's. This is a great time to experience the desert as the day breaks or in the late of the day as the sun disappears behind the surrounding mountain ranges. During the late spring and summer months Saguaro National Park only offers interpretive programs on an intermittent basis.",No Alerts At This Time,None,None,SAGU
Grand Teton,"Rising above a scene rich with extraordinary wildlife, pristine lakes, and alpine terrain, the Teton Range stands as a monument to the people who fought to protect it. These are mountains of the imagination. Mountains that led to the creation of Grand Teton National Park where you can explore over two hundred miles of trails, float the Snake River, and enjoy the serenity of this remarkable place.","Jackson Hole has long, cold winters; snow and frost are possible any month. 
mid-April, May & June - Mild days and cool nights alternate with rain and snow.
July & August - Warm days and cool nights prevail, with afternoon thundershowers common.
September, October & November - Sunny days and cold nights alternate with rain and occasional snowstorms.
December to mid-April - Between storms the days are sunny and nights are frigid. Snow blankets the mountains and valley.",Seasonal Road Closures,Information,"Portions of the Teton Park Road (Taggart Lake TH to Signal Mt. Lodge), Moose-Wilson Road (Granite Canyon TH to Death Canyon Road), and other roads are closed to vehicles. Please check with WYDOT or 511 for additional weather-related closures.",GRTE
Great Sand Dunes,"Open all day and night year round, the tallest dunes in North America are the centerpiece in a diverse landscape of grasslands, wetlands, conifer and aspen forests, alpine lakes, and tundra. Experience a starry sky on moonless nights, or a surreal walk on the dunes under bright full moonlight.","Temperatures are relatively cool all year, thanks to the park and preserve's high elevation. Conditions are most often calm, but winds can arise, especially in spring and during storm fronts.  Daytime temperatures feel warmer here year round due to intense high-altitude sunlight, and a scorching mid-day summer sand surface. Plan to explore the dunes morning or evening during summer. Nights are cool in summer, and frigid in winter. Visit the Great Sand Dunes website for the most accurate weather forecasts.",Winter Closures on Medano Pass Primitive Road,Information,The Medano Pass Primitive Road is CLOSED beginning at the Castle Creek Picnic Area (2.6 miles from the southern entrance of the road near the Piñon Flats Campground within the park).  This does NOT affect paved road access to the dunes.,GRSA
Black Canyon Of The Gunnison,"Big enough to be overwhelming, still intimate enough to feel the pulse of time, Black Canyon of the Gunnison exposes you to some of the steepest cliffs, oldest rock, and craggiest spires in North America. With two million years to work, the Gunnison River, along with the forces of weathering, has sculpted this vertical wilderness of rock, water, and sky.","Today's Weather: http://www.weather.com/weather/today/l/NPBLCA:13:US

CLIMATE
Weather can vary greatly throughout the day. Summer daytime temperatures range between 55 to 90F (13 to 32C), nights 45 to 60F (7 to 16C). Winter daytime temperatures range between 15 to 40F (-9 to 4C), nights 10 to 20F (-12 to -6C).

Afternoon thunderstorms are common during the summer. Snow accumulation varies greatly year to year. Layered clothing appropriate for the season is recommended.",Road Closures,Park Closure,"East Portal and North Rim Roads are closed for the winter. South Rim Drive is open to the Visitor Center, but the remainder of the road is closed due to snow.",BLCA
Big Bend,"There is a place in Far West Texas where night skies are dark as coal and rivers carve temple-like canyons in ancient limestone. Here, at the end of the road, hundreds of bird species take refuge in a solitary mountain range surrounded by weather-beaten desert. Tenacious cactus bloom in sublime southwestern sun, and diversity of species is the best in the country. This magical place is Big Bend...","Variable
-- February through April the park abounds with pleasant and comfortable temperatures.
-- May through August is hot and can also be stormy. Temperatures regularly reach well over 100 degrees in the lower elevations and along the Rio Grande.
-- September through January temperatures are cooler; the weather can quickly turn cold at any time during these months.",CHANGES TO BIG BEND CAMPING FEES AND RESERVATIONS,Information,Camping fees change January 1; increased campground reservations coming January 15; some backcountry campsites reservable beginning February 1.,BIBE
Arches,"Visit Arches to discover a landscape of contrasting colors, land forms and textures unlike any other in the world. The park has over 2,000 natural stone arches, in addition to hundreds of soaring pinnacles, massive fins and giant balanced rocks. This red-rock wonderland will amaze you with its formations, refresh you with its trails, and inspire you with its sunsets.","Arches is part of the Colorado Plateau, a ""high desert"" region that experiences wide temperature fluctuations, sometimes over 40 degrees in a single day. The temperate (and most popular) seasons are spring (April-May) and fall (mid-September-October), when daytime highs average 60 to 80 F and lows average 30 to 50 F. Summer temperatures often exceed 100 F, making strenuous exercise difficult. Winters are cold, with highs averaging 30 to 50 F, and lows averaging 0 to 20 F.",Winter Conditions,Caution,"Hiking trails may be icy; we strongly recommend traction devices to attach to your hiking shoes. Backcountry roads may be icy or snow covered, especially in shaded areas. Fiery Furnace hiking permits may or may not be available due to ice and snow.",ARCH
Grand Canyon,"Unique combinations of geologic color and erosional forms decorate a canyon that is 277 river miles (446km) long, up to 18 miles (29km) wide, and a mile (1.6km) deep. Grand Canyon overwhelms our senses through its immense size.

The South Rim is open all year. 

The North Rim is Closed for the Winter. It will reopen on May 15, 2020, for the 2020 season.","This weather varies with cold winters and mild pleasant summers, moderate humidity, and considerable diurnal temperature changes at the higher elevations, with hot and drier summers at the bottom of the Grand Canyon along with cool damp winters. Summer thunderstorms and winter snowfall adds to the weather variety in this region.",North Rim Campground Alert - 2020 Season.,Information,"The North Rim Campground will be on a first-come, first-served basis from May 15, 2020 to August 31, 2020 due to a major waterline replacement project. Normal reservations will resume September 1, 2020 through the remainder of the 2020 season.",GRCA
Mesa Verde,"Mesa Verde National Park was established in 1906 to preserve and interpret the archeological heritage of the Ancestral Pueblo people who made it their home for over 700 years, from 600 to 1300 CE. Today, the park protects nearly 5,000 known archeological sites, including 600 cliff dwellings. These sites are some of the most notable and best preserved in the United States.","Spring: Temps range from 40 F to 70 F, but snowstorms can occur as late as May. 

Summer: Temps can reach well into the 90s F. Thunderstorms are common in July and August. Be prepared to bring and DRINK plenty of water.

Fall: Temps can range from 50 F to 75 F. Snowstorms can occur as early as October. 

Winter: Temps can range from the teens to low 30s F. Icy roads are common. Snow tires, all-wheel drive, or chains, may be required. Be prepared with water, snacks, and layers of warm clothing.",Winter Storms May Cause Temporary Closures,Caution,"Winter storms may cause opening delays or temporary closures so plows can safely clear the roads. If you plan to visit, please check our Facebook page at www.facebook.com/mesaverdenps for the most up-to-date information.",MEVE
Virgin Islands,"Virgin Islands National Park is more than just beautiful beaches. Hike to plantation ruins to learn about a time when sugar dominated the island. Visit the ancient petroglyphs carved by the Taino Indians. Come snorkel the coral reefs to discover hidden marine life.  Two-thirds of the island of St. John is national park, making it a unique destination for visitors from around the world.","Mostly Perfect! The Tradewinds (the Easterlies) dominate the weather in the Virgin Islands, blowing east to west across the tropical Atlantic. The winter tends to bring stronger winds and less rain, and the summer tends to bring more rain and lighter winds.

Be sure to check the forecast often during hurricane season or winter swell events.",No Alerts At This Time,None,None,VIIS
Hawai'i Volcanoes,"Hawai‘i Volcanoes National Park protects some of the most unique geological, biological, and cultural landscapes in the world. Extending from sea level to the summit of Mauna Loa at 13,677 feet, the park encompasses the summits of two of the world's most active volcanoes - Kīlauea and Mauna Loa.","The weather at Kīlauea's summit (4000' elevation) varies daily and may be rainy and chilly any time of the year. Temperature varies by elevation. At the summit of the volcano, temperatures may be 12 to 15 degrees cooler than at sea level. The coastal plain at the end of Chain of Craters Road, where lava crossed the road in 2003, is often hot, dry, and windy with the possibility of passing showers.",Beware of wasps,Caution,"The park is experiencing higher-than-normal numbers of ground nesting wasps. If you encounter wasps, exercise caution as you pass by or detour around these areas. If you are allergic to stings, make sure to carry your Epi pen (epinephrine).",HAVO
Cuyahoga Valley,"Though a short distance from the urban areas of Cleveland and Akron, Cuyahoga Valley National Park seems worlds away. The park is a refuge for native plants and wildlife, and provides routes of discovery for visitors. The winding Cuyahoga River gives way to deep forests, rolling hills, and open farmlands. Walk or ride the Towpath Trail to follow the historic route of the Ohio & Erie Canal.","Spring's rain and warming temperatures bring new leaves on trees, blooming wildflowers, and visitors anxious get out on the trail. 

Summer temperatures range from 49 to 95 degrees F and can be humid. Dressing in layers is advisable. 

Fall temperatures can range from low 70s during the day to freezing during the night. Fall foliage often peaks in mid-October.

Winter weather conditions can rapidly change, due to the lake effect snow from Lake Erie. Temperatures vary from mid-30s to below zero.",Paddling Hazard Upstream from Lock 39/Rockside Road,Caution,A significant woody debris hazard exists near a set of metal pylons and timber groynes just upstream from the Lock 39/Rockside Rd. access. At medium/low flow portage on river right. This hazard is currently unnavigable. Do not attempt to paddle through.,CUVA
Wrangell - St Elias,"Wrangell St. Elias is a vast national park that rises from the ocean all the way up to 18,008 ft. At 13.2 million acres, the park is the same size as Yellowstone National Park, Yosemite National Park, and Switzerland combined! Within this wild landscape, people continue to live off the land as they have done for centuries. This rugged, beautiful land is filled with opportunities for adventure.",Varies widely depending on location in park and time of year.  Visit http://www.nps.gov/wrst/planyourvisit/weather.htm for detailed information.,New Regulations Prohibit Brown and Black Bear Baiting,Information,"Baiting for black and brown bears is prohibited in Wrangell-St. Elias National Preserve. Regulations also prohibit taking wolves and coyotes (including pups) from May 1 through August 9 and prohibit using dogs to hunt big game, including black bears.",WRST
Glacier Bay,"Covering 3.3 million acres of rugged mountains, dynamic glaciers, temperate rainforest, wild coastlines and deep sheltered fjords, Glacier Bay National Park is a highlight of Alaska's Inside Passage and part of a 25-million acre World Heritage Site—one of the world’s largest international protected areas. From sea to summit, Glacier Bay offers limitless opportunities for adventure and inspiration.","Summer temperatures average 50° to 60° F (10° to 15° C). Rain is the norm in lush southeast Alaska. It is best to be prepared to enjoy the park in any kind of weather, especially rain. Suggested clothing includes waterproof boots, rain gear, a hat, gloves, wool or pile layers or a warm coat. Good rain gear is essential here. April, May and June are usually the driest months of the year. September and October tend to be the wettest.",No Alerts At This Time,None,None,GLBA
Katmai,"A landscape is alive underneath our feet, filled with creatures that remind us what it is to be wild.

Katmai was established in 1918 to protect the volcanically devastated region surrounding Novarupta and the Valley of Ten Thousand Smokes. Today, Katmai National Park and Preserve also protects 9,000 years of human history and important habitat for salmon and thousands of brown bears.","Located between the stormy north Pacific Ocean and the even stormier Bering Sea, the Katmai region is often a battleground between weather systems. When you visit, be prepared to encounter all types of weather.  On average, wet and cool conditions predominate in spring, summer, and fall. Winters are drier and colder.",No Alerts At This Time,None,None,KATM
Kenai Fjords,"At the edge of the Kenai Peninsula lies a land where the ice age lingers. Nearly 40 glaciers flow from the Harding Icefield, Kenai Fjords' crowning feature. Wildlife thrives in icy waters and lush forests around this vast expanse of ice. Sugpiaq people relied on these resources to nurture a life entwined with the sea. Today, shrinking glaciers bear witness to the effects of our changing climate.","The weather  Kenai Fjords is difficult to predict and can change rapidly. The area generally enjoys a relatively temperate maritime climate, primarily due to the influence of the Japanese current that flows through the Gulf of Alaska.

Summer daytime temperatures range from the mid 40s to the low 70s (Fahrenheit). Overcast and cool rainy days are frequent. Winter temperatures can range from the low 30s to -20.",Road to Exit Glacier Closed for Winter,Park Closure,"The Herman Leirer Road (also known as the road to Exit Glacier) is inaccessible to automobile traffic due to a state road closure for the 2019-20 winter season. Winter recreational travel (skiing, biking, walking, snowmachining, etc) is permitted.",KEFJ
Gates Of The Arctic,"This vast landscape does not contain any roads or trails. Visitors discover intact ecosystems where people have lived with the land for thousands of years. Wild rivers meander through glacier-carved valleys, caribou migrate along age-old trails, endless summer light fades into aurora-lit night skies of winter. It remains virtually unchanged except by the forces of nature.","The climate of Gates of the Arctic National Park & Preserve is generally classified as arctic and sub-arctic, with exceptionally cold winters, relatively mild summers, low annual precipitation, and generally high winds. The weather is influenced by many different systems, and can change rapidly.",No Alerts At This Time,None,None,GAAR
Denali,"Denali is six million acres of wild land, bisected by one ribbon of road. Travelers along it see the relatively low-elevation taiga forest give way to high alpine tundra and snowy mountains, culminating in North America's tallest peak, 20,310' Denali. Wild animals large and small roam unfenced lands, living as they have for ages. Solitude, tranquility and wilderness await.","Summer is typically cool and wet, with highs typically in the upper 50s to low 60s, and lows in the 40s. On occasion, summer highs reach the low 80s, though this is rare. Snow can fall any month of the year, so be prepared for chilly weather even in summer.

Fall colors emerge on the alpine tundra in August and in the low valleys in early September. Winter generally starts in mid-September, with temps often getting down to -40 by January. Spring is a short season in April / May, with highs above freezing.",Winter Season: Road Open to Mile 3 (Park Headquarters),Park Closure,"The Denali Park Road is currently open to Mile 3, Park Headquarters. Wintry conditions beyond that point prevent vehicle travel, though pedestrian travel is permitted. The Winter Visitor Center is open daily, 9:30 am - 5 pm, at Mile 1.5.",DENA
Kobuk Valley,"Caribou, sand dunes, the Kobuk River, Onion Portage - just some of the facets of Kobuk Valley National Park. Half a million caribou migrate through, their tracks crisscrossing sculpted dunes. The Kobuk River is an ancient and current path for people and wildlife. For 9000 years, people came to Onion Portage to harvest caribou as they swam the river. Even today, that rich tradition continues.","Snow, rain, and freezing temperatures can occur any time of the year. Always travel with good quality rain gear and warm layers. Be especially careful to stay dry. Hypothermia can set in on a windy, wet day, even when it doesn't feel that cold.",No Alerts At This Time,None,None,KOVA
Lake Clark,"Lake Clark National Park and Preserve is a land of stunning beauty. Volcanoes steam, salmon run, bears forage, and craggy mountains reflect in shimmering turquoise lakes. Here, too, local people and culture still depend on the land and water. Venture into the park to become part of the wilderness.","Lake Clark has two distinct climate areas: the coast and the interior. The coast is wetter and experiences milder temperatures. The interior gets half to one fourth as much precipitation, but temperatures are hotter in summer and colder in winter.  Frost and snow can occur any time parkwide, but are most common from September to early June. Lakes here typically begins freezing in November and melting in April. Ice conditions dictate whether planes need floats or skis to land on lakes.",No Alerts At This Time,None,None,LACL
Rocky Mountain,"Rocky Mountain National Park’s 415 square miles encompass and protect spectacular mountain environments. Enjoy Trail Ridge Road – which crests at over 12,000 feet including many overlooks to experience the subalpine and alpine worlds – along with over 300 miles of hiking trails, wildflowers, wildlife, starry nights, and fun times. In a world of superlatives, Rocky is on top!","Winter (Dec–Mar): cold weather, deep snow at higher elevations, and seasonal closures of facilities and roads. Spring (April–May): unpredictable weather, with a mix of warm sunny days and cool days with heavy snow and rain. Many trails are still snow-covered. Trail Ridge Road opens in late May. Summer (Jun–Aug): warmer weather, thunderstorms, and wildflowers. Most park roads and facilities are open. Fall (Sep–Nov): crisp air, blue skies, fall colors, and the elk rut. Trail Ridge Road closes mid-October.",Avalanches: Be Alert,Caution,"Avalanches can be easily triggered by backcountry travelers. The park does not do any avalanche control. Never assume trails are free of avalanche hazard. Check current avalanche conditions before your visit by clicking ""more.""",ROMO
Joshua Tree,"Two distinct desert ecosystems, the Mojave and the Colorado, come together in Joshua Tree National Park. A fascinating variety of plants and animals make their homes in a land sculpted by strong winds and occasional torrents of rain. Dark night skies, a rich cultural history, and surreal geologic features add to the wonder of this vast wilderness in southern California. Come explore for yourself.","Days are typically clear with less than 25% humidity. Temperatures are most comfortable in the spring and fall, with an average highs around 85°F (29°C) and average lows around 50°F (10°C) respectively. Winter brings cooler days, around 60°F (15°C), and freezing nights. It occasionally snows at higher elevations. Summers are hot, over 100°F (38°C) during the day and not cooling much below 75°F (24°C) at night.",Multiple Roads Closed,Park Closure,Update on road closures due to snow: All roads in the park are now open except for Upper Covington Trailhead Spur. Black Eagle Mine Road is closed long-term.,JOTR
Everglades,"Everglades National Park protects an unparalleled landscape that provides important habitat for numerous rare and endangered species like the manatee,  American crocodile, and the elusive Florida panther.

An international treasure as well -  a World Heritage Site, International Biosphere Reserve, a Wetland of International Importance, and a specially protected area under the Cartagena Treaty.",The climate in Florida is known to be mild and sunny.The average annual temperatures for South Florida and the Keys range from 74° to 77°F (23° to 25°C). There are two seasons at the Everglades National Park: the wet season and the dry season. The wet season runs from Mid-May to November and the dry season runs from December to mid-May.,Trails in the Flamingo Area Not Being Maintained,Information,"Caution: The following trails in the Flamingo area are not being maintained and may be in poor condition; Snake Bight, Rowdy Bend, Bear Lake, Christian Point, Bayshore Loop, and Coastal Prairie. Check at park visitor centers for updates.",EVER
Badlands,"The rugged beauty of the Badlands draws visitors from around the world. These striking geologic deposits contain one of the world’s richest fossil beds. Ancient mammals such as the rhino, horse, and saber-toothed cat once roamed here. The park’s 244,000 acres protect an expanse of mixed-grass prairie where bison, bighorn sheep, prairie dogs, and black-footed ferrets live today.",The Badlands weather is variable and unpredictable with temperature extremes ranging from 116° F to -40° F. Summers are hot and dry with occasional violent thunderstorms. Hailstorms and occasional tornadoes can descend on the Badlands with sudden fury. Winters are typically cold with 12 to 24 inches of total snowfall.,Park Entrance Fees,Information,The 7-day vehicle pass is $25. Motorcycles are $15 and Single/per person (bicycle and walk in) are $12.  The annual Badlands pass is $50.,BADL
Petrified Forest,"Did you know that Petrified Forest is more spectacular than ever? While the park has all the wonders known for a century, there are many new adventures and discoveries to share. There are backcountry hikes into areas never open before such as Red Basin and little known areas like the Martha's Butte. There are new exhibits that bring the stories to life. Come rediscover Petrified Forest!",Petrified Forest National Park is a semi-arid grassland. Temperatures range from above 100° F (38° C) to well below freezing. About 10 inches (25.4 cm) of moisture comes during infrequent snow in the winter and often dramatic summer thunder-storms. Animals and plants are adapted to extremes in temperature and moisture. You should be ready too. Check out the forecast before you arrive and plan accordingly.,"Road Delays - March 30th, 2020 - May 9th, 2020",Information,"Phase 2 of FHWA Road and Bridge Rehab project. Jasper Forest, Agate Bridge, and park road is open. Expect up to 15 minute delays in construction zone.",PEFO
Hot Springs,"Water. That's what first attracted people, and they have been coming here ever since to use these soothing thermal waters to heal and relax. Rich and poor alike came for the baths, and a thriving city built up around the hot springs. Together nicknamed ""The American Spa,"" Hot Springs National Park today surrounds the north end of the city of Hot Springs, Arkansas. Come discover it for yourself.","Temperatures range from >100°F (38°C) to <20°F (-7°C). 
Spring has the highest average rainfall. 
Summer temperatures frequently reach the triple-digit range and high humidity 
Fall begins fall colors and cooler temperatures. Frost starts to become more common.
Winter  temperatures often fall below 33 degrees and occasionally drop below 0. Roads may be icy. 
Your visit can be more enjoyable by checking the forecast and coming prepared for hikes or walks in the park.",No Alerts At This Time,None,None,HOSP
Indiana Dunes,"Indiana Dunes National Park hugs 15 miles of the southern shore of Lake Michigan and has much to offer. Whether you enjoy scouting for rare species of birds or flying kites on the sandy beach, the national park's 15,000 acres will continually enchant you.  Hikers will enjoy 50 miles of trails over rugged dunes, mysterious wetlands, sunny prairies, meandering rivers and peaceful forests.","On average, the warmest month is July and the highest recorded temperature was 105F in 1934. The coolest month is January, with the lowest recorded temperature of -25F in 1985. June sees the most precipitation with an average rainfall of 4.66 Inches.",Weather Watchers,Information,Know your beach's weather conditions and please use caution.,INDU
Death Valley,"In this below-sea-level basin, steady drought and record summer heat make Death Valley a land of extremes. Yet, each extreme has a striking contrast. Towering peaks are frosted with winter snow. Rare rainstorms bring vast fields of wildflowers. Lush oases harbor tiny fish and refuge for wildlife and humans. Despite its morbid name, a great diversity of life survives in Death Valley.","AUTUMN arrives in late October, with warm but pleasant temperatures and generally clear skies.
WINTER has cool days, chilly nights and rarely, rainstorms. With snow capping the high peaks and low angled winter light, this season is especially beautiful for exploring the valley.
SPRINGTIME is the most popular time to visit Death Valley. Besides warm and sunny days, the possibility of spring wildflowers is a big attraction.
SUMMER starts early in Death Valley. By May the valley is too hot for most visitors",Scotty's Castle CLOSED until fall 2021.,Information,"Flooding in Grapevine Canyon from a severe thunderstorm has destroyed the road to Scotty's Castle, damaged infrastructure and some out-buildings in the Castle complex.",DEVA
